Local time,Open,High,Low,Close,Volume
06.04.2013 23:00:00.000 GMT+0200,0.93446,0.93446,0.93446,0.93446,0
07.04.2013 23:00:00.000 GMT+0200,0.93480,0.93609,0.93279,0.93507,112763.7985
08.04.2013 23:00:00.000 GMT+0200,0.93500,0.93663,0.93073,0.93226,124865.6003
09.04.2013 23:00:00.000 GMT+0200,0.93222,0.93362,0.92947,0.93263,109347.82089999999
10.04.2013 23:00:00.000 GMT+0200,0.93262,0.93396,0.92785,0.93069,115864.96039999998
11.04.2013 23:00:00.000 GMT+0200,0.93070,0.93320,0.92638,0.92746,118477.1891
12.04.2013 23:00:00.000 GMT+0200,0.92746,0.92746,0.92746,0.92746,0
13.04.2013 23:00:00.000 GMT+0200,0.92746,0.92746,0.92746,0.92746,0
14.04.2013 23:00:00.000 GMT+0200,0.92684,0.93275,0.92640,0.93092,143769.8411
15.04.2013 23:00:00.000 GMT+0200,0.93086,0.93265,0.92076,0.92249,157517.4191
16.04.2013 23:00:00.000 GMT+0200,0.92248,0.93385,0.92059,0.93284,166663.05030000003
17.04.2013 23:00:00.000 GMT+0200,0.93284,0.93344,0.92891,0.93269,160859.1594
18.04.2013 23:00:00.000 GMT+0200,0.93269,0.93424,0.92761,0.93358,147789.0993
19.04.2013 23:00:00.000 GMT+0200,0.93358,0.93358,0.93358,0.93358,0
20.04.2013 23:00:00.000 GMT+0200,0.93358,0.93358,0.93358,0.93358,0
21.04.2013 23:00:00.000 GMT+0200,0.93163,0.93707,0.93145,0.93404,123303.6005
22.04.2013 23:00:00.000 GMT+0200,0.93421,0.94564,0.93270,0.94519,145800.41990000004
23.04.2013 23:00:00.000 GMT+0200,0.94533,0.94985,0.94434,0.94671,128896.1107
24.04.2013 23:00:00.000 GMT+0200,0.94673,0.94839,0.94220,0.94465,128466.79950000001
25.04.2013 23:00:00.000 GMT+0200,0.94468,0.94559,0.94019,0.94232,133360.95070000002
26.04.2013 23:00:00.000 GMT+0200,0.94232,0.94232,0.94232,0.94232,0
27.04.2013 23:00:00.000 GMT+0200,0.94232,0.94232,0.94232,0.94232,0
28.04.2013 23:00:00.000 GMT+0200,0.94071,0.94294,0.93540,0.93650,118128.3609
29.04.2013 23:00:00.000 GMT+0200,0.93649,0.93839,0.92781,0.92903,130702.11150000001
30.04.2013 23:00:00.000 GMT+0200,0.92903,0.93089,0.92467,0.92714,109086.23960000002
01.05.2013 23:00:00.000 GMT+0200,0.92713,0.93623,0.92645,0.93480,144128.09900000005
02.05.2013 23:00:00.000 GMT+0200,0.93479,0.93991,0.93023,0.93532,146036.1206
03.05.2013 23:00:00.000 GMT+0200,0.93532,0.93532,0.93532,0.93532,0
04.05.2013 23:00:00.000 GMT+0200,0.93532,0.93532,0.93532,0.93532,0
05.05.2013 23:00:00.000 GMT+0200,0.93492,0.93968,0.93382,0.93828,91691.5897
06.05.2013 23:00:00.000 GMT+0200,0.93827,0.94363,0.93664,0.94030,109753.5689
07.05.2013 23:00:00.000 GMT+0200,0.94022,0.94106,0.93367,0.93542,120842.34929999999
08.05.2013 23:00:00.000 GMT+0200,0.93537,0.94984,0.93334,0.94782,133496.13909999997
09.05.2013 23:00:00.000 GMT+0200,0.94780,0.96277,0.94758,0.95671,175980.3707
10.05.2013 23:00:00.000 GMT+0200,0.95671,0.95671,0.95671,0.95671,0
11.05.2013 23:00:00.000 GMT+0200,0.95671,0.95671,0.95671,0.95671,0
12.05.2013 23:00:00.000 GMT+0200,0.95847,0.95955,0.95469,0.95750,144659.831
13.05.2013 23:00:00.000 GMT+0200,0.95745,0.96741,0.95208,0.96693,166620.4979
14.05.2013 23:00:00.000 GMT+0200,0.96685,0.97473,0.96424,0.96465,166282.80200000005
15.05.2013 23:00:00.000 GMT+0200,0.96476,0.97081,0.95777,0.96467,152003.49070000002
16.05.2013 23:00:00.000 GMT+0200,0.96468,0.97604,0.96364,0.97209,140885.60950000002
17.05.2013 23:00:00.000 GMT+0200,0.97209,0.97209,0.97209,0.97209,0
18.05.2013 23:00:00.000 GMT+0200,0.97209,0.97209,0.97209,0.97209,0
19.05.2013 23:00:00.000 GMT+0200,0.97003,0.97188,0.96476,0.96681,117598.93900000001
20.05.2013 23:00:00.000 GMT+0200,0.96679,0.97504,0.96541,0.96998,153694.8289
21.05.2013 23:00:00.000 GMT+0200,0.96995,0.98384,0.96787,0.97809,188832.0387
